Container, 0, 0, 0, 123.511, 123.511, 0
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Lyon_Grenoble, link_gw_lyon, 6282
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, link_gw_bordeaux, Bordeaux_Lyon, 6287
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, link_gw_orsay, Paris_Rennes, 6289
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Bordeaux_Lyon, link_gw_lyon, 6291
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Lille_Paris, link_gw_orsay, 6292
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Paris_Lyon, link_gw_lyon, 6294
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Paris_Rennes, link_gw_rennes, 6296
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Lyon_Grenoble, link_gw_grenoble, 6297
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Marseille_Toulouse, link_gw_toulouse, 6298
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Lille_Paris, link_gw_lille, 6300
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Marseille_Sophia, link_gw_sophia, 6303
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Paris_Nancy, link_gw_orsay, 6304
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, link_gw_lyon, Lyon_Marseille, 6309
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Paris_Lyon, link_gw_orsay, 6312
Link, 0, 0-LINK3-LINK3, 0.000000, 0.000000, 0.000000, topology, Paris_Nancy, link_gw_nancy, 6313
Link, 0, 0-ROUTER2-LINK3, 0.000000, 0.000000, 0.000000, topology, sophia, link_gw_sophia, 6285
Link, 0, 0-ROUTER2-LINK3, 0.000000, 0.000000, 0.000000, topology, nancy, link_gw_nancy, 6286
Link, 0, 0-ROUTER2-LINK3, 0.000000, 0.000000, 0.000000, topology, rennes, link_gw_rennes, 6288
Link, 0, 0-ROUTER2-LINK3, 0.000000, 0.000000, 0.000000, topology, bordeaux, link_gw_bordeaux, 6295
